Year,Month,Day,Value
2023,10,20,0.2
2023,10,21,Trace
2023,10,22,Trace
2023,10,23,Trace
2023,10,24,0
2023,10,25,0
2023,10,26,0
2023,10,27,0
2023,10,28,9.5
2023,10,29,3.5
2023,10,30,Trace
2023,10,31,0
2023,11,1,0
2023,11,2,0
2023,11,3,0
2023,11,4,0
2023,11,5,0
2023,11,6,0
2023,11,7,0
2023,11,8,0
2023,11,9,Trace
2023,11,10,0
2023,11,11,2.5
2023,11,12,0.6
2023,11,13,0
2023,11,14,0
2023,11,15,0
2023,11,16,0
2023,11,17,0
2023,11,18,0
2023,11,19,0
2023,11,20,0
2023,11,21,0
2023,11,22,0
2023,11,23,0
2023,11,24,0
2023,11,25,0
2023,11,26,0
2023,11,27,0
2023,11,28,Trace
2023,11,29,0.2
2023,11,30,0
2023,12,1,0
2023,12,2,0
2023,12,3,Trace
2023,12,4,Trace
2023,12,5,0
2023,12,6,Trace
2023,12,7,0
2023,12,8,0
2023,12,9,0
2023,12,10,Trace
2023,12,11,0.3
2023,12,12,0.3
2023,12,13,Trace
2023,12,14,Trace
2023,12,15,0
2023,12,16,0.1
2023,12,17,0
2023,12,18,Trace
2023,12,19,0
2023,12,20,0
2023,12,21,0
2023,12,22,0
2023,12,23,0.2
2023,12,24,0
2023,12,25,0
2023,12,26,0
2023,12,27,Trace
2023,12,28,Trace
2023,12,29,0
2023,12,30,Trace
2023,12,31,0
2024,1,1,0
2024,1,2,0
2024,1,3,0
2024,1,4,0
2024,1,5,0
2024,1,6,0
2024,1,7,0
2024,1,8,Trace
2024,1,9,Trace
2024,1,10,0
2024,1,11,Trace
2024,1,12,0
2024,1,13,0
2024,1,14,0
2024,1,15,0
2024,1,16,0
2024,1,17,0.1
2024,1,18,0
2024,1,19,0
2024,1,20,0
2024,1,21,Trace
2024,1,22,0.5
2024,1,23,2.7
2024,1,24,0
2024,1,25,0
2024,1,26,0
2024,1,27,1
2024,1,28,2.4
2024,1,29,Trace
2024,1,30,Trace
2024,1,31,Trace
2024,2,1,0.2
2024,2,2,Trace
2024,2,3,Trace
2024,2,4,Trace
2024,2,5,Trace
2024,2,6,0.6
2024,2,7,Trace
2024,2,8,2.2
2024,2,9,0.6
2024,2,10,0.5
2024,2,11,0
2024,2,12,0
2024,2,13,0
2024,2,14,0
2024,2,15,0
2024,2,16,Trace
2024,2,17,Trace
2024,2,18,0
2024,2,19,0
2024,2,20,0
2024,2,21,0
2024,2,22,0
2024,2,23,Trace
2024,2,24,Trace
2024,2,25,0
2024,2,26,Trace
2024,2,27,Trace
2024,2,28,Trace
2024,2,29,Trace
2024,3,1,Trace
2024,3,2,0.3
2024,3,3,0.2
2024,3,4,1.4
2024,3,5,Trace
2024,3,6,0.1
2024,3,7,Trace
2024,3,8,0.2
2024,3,9,2.1
2024,3,10,4.6
2024,3,11,11.7
2024,3,12,0
2024,3,13,Trace
2024,3,14,0
2024,3,15,0
2024,3,16,Trace
2024,3,17,0
2024,3,18,0.6
2024,3,19,0.3
2024,3,20,0
2024,3,21,Trace
2024,3,22,Trace
2024,3,23,0
2024,3,24,0
2024,3,25,0
2024,3,26,0
2024,3,27,Trace
2024,3,28,0
2024,3,29,Trace
2024,3,30,Trace
2024,3,31,0.1
2024,4,1,Trace
2024,4,2,0
2024,4,3,Trace
2024,4,4,Trace
2024,4,5,0.3
2024,4,6,2.7
2024,4,7,0.9
2024,4,8,0
2024,4,9,Trace
2024,4,10,0
2024,4,11,0
2024,4,12,0
2024,4,13,0
2024,4,14,0
2024,4,15,0
2024,4,16,0
2024,4,17,0
2024,4,18,8.6
2024,4,19,2.2
2024,4,20,42.2
2024,4,21,81.6
2024,4,22,13.2
2024,4,23,40
2024,4,24,Trace
2024,4,25,5.7
2024,4,26,25
2024,4,27,0.8
2024,4,28,12.2
2024,4,29,0
2024,4,30,21.7
2024,5,1,52.9
2024,5,2,1.1
2024,5,3,Trace
2024,5,4,75.1
2024,5,5,5.3
2024,5,6,0
2024,5,7,0
2024,5,8,Trace
2024,5,9,0
2024,5,10,Trace
2024,5,11,Trace
2024,5,12,3.1
2024,5,13,0.7
2024,5,14,0
2024,5,15,0
2024,5,16,0
2024,5,17,Trace
2024,5,18,Trace
2024,5,19,17.5
2024,5,20,30.7
2024,5,21,45.3
2024,5,22,Trace
2024,5,23,2.5
2024,5,24,17.6
2024,5,25,7.8
2024,5,26,0.3
2024,5,27,6.7
2024,5,28,8.9
2024,5,29,0
2024,5,30,3.7
2024,5,31,13.4
2024,6,1,54.2
2024,6,2,3.2
2024,6,3,8.6
2024,6,4,2.9
2024,6,5,8.5
2024,6,6,Trace
2024,6,7,1.6
2024,6,8,6.8
2024,6,9,33.5
2024,6,10,0.2
2024,6,11,0.6
2024,6,12,8.3
2024,6,13,4.9
2024,6,14,32
2024,6,15,28.3
2024,6,16,17.5
2024,6,17,Trace
2024,6,18,4.6
2024,6,19,9.4
2024,6,20,5
2024,6,21,0
2024,6,22,0
2024,6,23,4.7
2024,6,24,0.3
2024,6,25,19
2024,6,26,0
2024,6,27,1.4
2024,6,28,1.6
2024,6,29,15.5
2024,6,30,8.7
2024,7,1,2.5
2024,7,2,5.3
2024,7,3,0
2024,7,4,5.1
2024,7,5,1.5
2024,7,6,0.2
2024,7,7,Trace
2024,7,8,0.2
2024,7,9,Trace
2024,7,10,10.7
2024,7,11,6.5
2024,7,12,24.4
2024,7,13,8
2024,7,14,90
2024,7,15,13.6
2024,7,16,15.7
2024,7,17,13.7
2024,7,18,19.6
2024,7,19,40.5
2024,7,20,3.7
2024,7,21,4.7
2024,7,22,0.2
2024,7,23,0
2024,7,24,0
2024,7,25,Trace
2024,7,26,3.9
2024,7,27,34.7
2024,7,28,69.4
2024,7,29,6.7
2024,7,30,29.5
2024,7,31,48.2
2024,8,1,2.3
2024,8,2,0.4
2024,8,3,0
2024,8,4,0
2024,8,5,0
2024,8,6,10.3
2024,8,7,0
2024,8,8,0
2024,8,9,0
2024,8,10,Trace
2024,8,11,0
2024,8,12,20.9
2024,8,13,5
2024,8,14,0.1
2024,8,15,8
2024,8,16,0.4
2024,8,17,116.2
2024,8,18,32.5
2024,8,19,19.3
2024,8,20,11.4
2024,8,21,3.9
2024,8,22,0
2024,8,23,0
2024,8,24,0
2024,8,25,0
2024,8,26,0
2024,8,27,0
2024,8,28,Trace
2024,8,29,Trace
2024,8,30,23.3
2024,8,31,7.5
2024,9,1,Trace
2024,9,2,Trace
2024,9,3,35.5
2024,9,4,0.6
2024,9,5,21.5
2024,9,6,84.1
2024,9,7,5.8
2024,9,8,37.8
2024,9,9,13
2024,9,10,0
2024,9,11,0
2024,9,12,0
2024,9,13,0.1
2024,9,14,57.2
2024,9,15,2.4
2024,9,16,27.4
2024,9,17,16
2024,9,18,Trace
2024,9,19,0
2024,9,20,4.6
2024,9,21,72.9
2024,9,22,32.1
2024,9,23,24.9
2024,9,24,75
2024,9,25,5.4
2024,9,26,0
2024,9,27,0
2024,9,28,1.3
2024,9,29,3.3
2024,9,30,0
2024,10,1,0
2024,10,2,0
2024,10,3,0
2024,10,4,0
2024,10,5,0
2024,10,6,0
2024,10,7,0
2024,10,8,0
2024,10,9,Trace
2024,10,10,Trace
2024,10,11,8.7
2024,10,12,0
2024,10,13,0
2024,10,14,0
2024,10,15,0
2024,10,16,Trace
2024,10,17,Trace
2024,10,18,Trace
2024,10,19,0
2024,10,20,1.9
2024,10,21,Trace
2024,10,22,0
2024,10,23,0
2024,10,24,0
2024,10,25,0
2024,10,26,0.7
2024,10,27,Trace
2024,10,28,Trace
2024,10,29,Trace
2024,10,30,0
2024,10,31,0
2024,11,1,0
2024,11,2,0
2024,11,3,0
2024,11,4,Trace
2024,11,5,Trace
2024,11,6,Trace
2024,11,7,Trace
2024,11,8,0
2024,11,9,1.9
2024,11,10,6.2
2024,11,11,0
2024,11,12,0
2024,11,13,14.8
2024,11,14,6.3
2024,11,15,36.6
2024,11,16,33.3
2024,11,17,6.1
2024,11,18,Trace
2024,11,19,7.3
2024,11,20,73.8
2024,11,21,5.6
2024,11,22,Trace
2024,11,23,Trace
2024,11,24,1
2024,11,25,Trace
2024,11,26,1.2
2024,11,27,0
2024,11,28,0
2024,11,29,0
2024,11,30,0
